,Description of Filing (Date Filed),,Filer,
5167,,,,
5166,Application for Eligibility as a Renewable Energy Resource Generation Unit; Farmington Solar: (6/29/21),6/29/21,"Farmington Solar, LLC",
5165,2021 Distribution Adjustment Filing,,The Narragansett Electric Co. d/b/a National Grid,
5164,Renewable Energy Growth Factor Filing (Program Year 2021) filed 6/30/21,6/30/21,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5164page.html
5163,Application for Eligibility as a Renewable Energy Resource Generation Unit: Roger Williams University-Melville at Portsmouth (filed 6/17/21),6/17/21,Constellation Solar Rhode Island LLC,http://www.ripuc.ri.gov/eventsactions/docket/5163page.html
5162,Application for Eligibility as a Renewable Energy Resource Generation Unit: Roger Williams University-Green Lane At Middleton (filed 6/17//21),6/17//21,Constellation Solar Rhode Island LLC,http://www.ripuc.ri.gov/eventsactions/docket/5162page.html
5161,Motion to Pass Through Wholesale Rate Inrease (filed 6/1/21),6/1/21,Kent County Water Authority,http://www.ripuc.ri.gov/eventsactions/docket/5161page.html
5160,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 5/21/21),5/21/21,Hartford Pike Solar LLC,http://www.ripuc.ri.gov/eventsactions/docket/5160page.html
5159,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 5/11/21),5/11/21,Patriot State Storage LLC,http://www.ripuc.ri.gov/eventsactions/docket/5159page.html
5158,Application for Eligibility as a Renewable Energy Resource Generation Unit (filed 5/18/21),5/18/21,Manville Hill Rd. Solar LLC,http://www.ripuc.ri.gov/eventsactions/docket/5158page.html
5157,Annual Electric Revenue Decoupling Mechanism Filing (5/14/21),5/14/21,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5157page.html
5156,Residential Assistance Recovery Filing (5/14/21),5/14/21,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/5156page.html
